CNES - Estabelecimentos por Tipo - Brasil
Quantidade por Município e Tipo de Estabelecimento
Período:Dez/2010
"Município";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"POLICLINICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL FLUVIAL";"UNIDADE MOVEL TERRESTRE";"PRONTO SOCORRO TRAUMATO-ORTOPEDICO (ANTIGO)";"Total"
"110001 Alta Floresta D'Oeste";-;-;1;-;4;-;1;-;-;-;-;2;-;-;-;2;-;-;-;1;-;3;1;-;-;-;-;-;15
"110037 Alto Alegre dos Parecis";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;3;-;-;-;-;-;-;1;1;-;-;-;-;7
"110040 Alto Paraíso";-;-;-;-;4;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"110034 Alvorada D'Oeste";-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;2;1;1;-;-;-;-;9
"110002 Ariquemes";1;-;1;-;9;1;18;14;-;1;4;8;-;-;4;-;-;-;-;2;-;15;5;-;-;-;1;-;84
"110045 Buritis";-;-;-;-;2;-;2;4;-;-;-;3;-;-;1;-;-;-;-;-;-;7;1;1;-;-;-;-;21
"110003 Cabixi";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;4
"110060 Cacaulândia";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;1;-;-;-;-;5
"110004 Cacoal";-;-;-;-;8;-;33;45;-;4;-;8;-;-;2;-;-;-;-;1;-;11;1;-;-;-;-;-;113
"110070 Campo Novo de Rondônia";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;5
