CNES - Estabelecimentos por Tipo - Brasil
Quantidade por Município e Tipo de Estabelecimento
Período:Dez/2011
"Município";"ACADEMIA DA SAÚDE";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"POLICLINICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL FLUVIAL";"UNIDADE MOVEL TERRESTRE";"PRONTO SOCORRO TRAUMATO-ORTOPEDICO (ANTIGO)";"Total"
"110001 Alta Floresta D'Oeste";-;-;-;1;-;4;-;1;-;-;-;-;2;-;-;-;2;-;-;-;1;-;3;1;-;-;-;-;-;15
"110037 Alto Alegre dos Parecis";-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;3;-;-;-;1;-;-;1;1;-;-;-;-;8
"110040 Alto Paraíso";-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-;7
"110034 Alvorada D'Oeste";-;-;-;-;-;2;-;-;2;-;-;-;-;-;-;-;2;-;-;-;-;-;2;1;1;-;-;-;-;10
"110002 Ariquemes";-;1;1;1;-;10;1;18;13;-;1;1;10;-;-;3;-;-;-;-;3;-;18;5;-;-;-;1;-;87
"110045 Buritis";-;-;-;-;-;2;-;1;4;-;-;-;3;-;-;1;-;-;-;-;-;-;7;1;-;-;-;-;-;19
"110003 Cabixi";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;4
"110060 Cacaulândia";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;1;1;-;-;-;-;6
"110004 Cacoal";-;-;-;-;-;8;-;35;68;-;4;-;9;-;-;3;-;-;-;-;1;-;11;1;-;-;-;-;-;140
"110070 Campo Novo de Rondônia";-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;5
"110080 Candeias do Jamari";-;-;-;-;-;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;1;-;-;-;-;8
"110090 Castanheiras";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"110005 Cerejeiras";-;-;-;1;-;4;-;2;3;-;-;-;-;-;-;-;1;-;-;-;1;-;3;-;1;-;-;-;-;16
"110092 Chupinguaia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;1;-;-;-;1;-;-;-;-;6
"110006 Colorado do Oeste";-;-;-;1;-;6;-;1;2;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;1;-;-;-;-;14
"110007 Corumbiara";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;1;-;1;-;-;-;-;5
"110008 Costa Marques";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;1;-;1;-;-;-;-;9
"110094 Cujubim";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;2
"110009 Espigão D'Oeste";-;-;-;-;-;1;-;1;7;-;-;-;2;-;-;-;7;-;-;-;1;-;3;2;1;-;-;-;-;25
"110100 Governador Jorge Teixeira";-;-;-;-;-;4;-;1;-;-;-;-;-;-;-;-;3;-;-;-;-;-;1;1;1;-;-;-;-;11
"110010 Guajará-Mirim";-;-;-;1;-;5;-;-;5;-;-;-;3;-;-;-;14;-;-;-;1;-;7;1;-;-;-;1;-;38
"110110 Itapuã do Oeste";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;-;-;-;-;3
"110011 Jaru";-;-;-;1;-;11;-;12;39;-;-;-;2;-;-;-;2;-;-;-;1;-;8;1;-;-;-;-;-;77
"110012 Ji-Paraná";-;-;-;1;-;12;1;32;51;-;-;1;6;1;-;3;5;-;-;1;2;-;17;2;-;-;-;-;-;135
"110013 Machadinho D'Oeste";-;-;-;-;-;8;-;1;2;-;1;-;1;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;16
"110120 Ministro Andreazza";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"110130 Mirante da Serra";-;-;-;-;-;2;-;-;2;-;-;-;1;-;-;-;1;-;-;-;-;-;4;-;1;-;-;-;-;11
"110140 Monte Negro";-;-;-;-;-;7;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;11
"110014 Nova Brasilândia D'Oeste";-;-;-;-;-;4;-;2;3;-;-;-;1;-;-;-;1;-;-;-;-;-;2;-;-;-;-;-;-;13
"110033 Nova Mamoré";-;-;-;1;-;3;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;1;1;1;-;-;-;-;9
"110143 Nova União";-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;5
"110050 Novo Horizonte do Oeste";-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"110015 Ouro Preto do Oeste";-;-;-;1;-;4;-;4;5;1;-;-;4;-;-;-;9;-;-;-;1;-;8;1;-;-;-;-;-;38
"110145 Parecis";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;1;-;-;-;-;4
"110018 Pimenta Bueno";-;-;-;1;-;4;-;3;5;-;-;-;3;-;-;2;10;-;-;-;-;-;5;2;-;-;-;-;-;35
"110146 Pimenteiras do Oeste";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"110020 Porto Velho";-;-;-;3;-;39;1;112;151;1;3;8;12;-;2;6;17;-;-;-;2;-;68;3;-;1;1;-;-;430
"110025 Presidente Médici";-;-;-;1;-;5;-;2;1;-;1;-;-;-;-;1;6;-;-;-;1;-;3;1;1;-;-;-;-;23
"110147 Primavera de Rondônia";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"110026 Rio Crespo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;2
"110028 Rolim de Moura";-;-;-;1;-;12;1;6;27;-;1;-;3;-;-;2;2;-;-;-;1;-;12;2;-;-;-;1;-;71
"110029 Santa Luzia D'Oeste";-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;3;1;-;-;-;-;8
"110148 São Felipe D'Oeste";-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;5
"110149 São Francisco do Guaporé";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;2;1;1;-;-;-;-;8
"110032 São Miguel do Guaporé";-;-;-;-;-;3;-;-;1;-;-;-;1;-;-;-;1;-;-;-;1;-;3;-;-;-;-;-;-;10
"110150 Seringueiras";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;3
"110155 Teixeirópolis";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-;4
"110160 Theobroma";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;4;-;-;-;1;-;1;-;1;-;-;-;-;9
"110170 Urupá";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;11;-;-;-;-;-;1;1;1;-;-;-;-;16
"110175 Vale do Anari";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;1;-;-;-;-;5
"110180 Vale do Paraíso";-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-;5
"110030 Vilhena";-;-;-;1;-;5;1;27;74;-;4;-;5;-;-;1;5;-;-;-;2;1;15;3;-;1;-;1;-;146
"120001 Acrelândia";-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;1;-;-;-;-;10
"120005 Assis Brasil";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;1;-;-;-;-;6
"120010 Brasiléia";-;-;1;-;-;7;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;4;1;-;-;-;-;-;15
"120013 Bujari";-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"120017 Capixaba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;1;-;-;1;-;-;-;1;-;7
"120020 Cruzeiro do Sul";-;-;1;1;-;19;1;5;18;-;1;2;3;-;-;1;5;-;-;-;1;2;5;2;1;-;-;1;-;69
"120025 Epitaciolândia";-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;8
"120030 Feijó";-;-;-;-;-;5;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;10
"120032 Jordão";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;-;4
"120033 Mâncio Lima";-;-;-;-;-;5;-;-;-;-;-;-;1;-;-;-;9;-;-;-;1;-;-;1;-;-;-;-;-;17
"120034 Manoel Urbano";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;-;5
"120035 Marechal Thaumaturgo";-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;1;-;-;7
"120038 Plácido de Castro";-;-;-;-;-;7;-;-;1;-;-;-;1;-;-;-;1;-;-;-;1;-;1;-;1;-;-;-;-;13
"120080 Porto Acre";-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;8
"120039 Porto Walter";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;1;-;-;5
"120040 Rio Branco";-;-;1;1;-;71;1;36;197;1;2;4;5;-;1;4;-;3;-;-;3;1;28;3;-;-;-;2;-;364
"120042 Rodrigues Alves";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;1;-;-;5
"120043 Santa Rosa do Purus";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;1;-;1;-;-;6
"120050 Sena Madureira";-;-;-;-;-;8;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;2;1;-;-;2;-;-;16
"120045 Senador Guiomard";-;-;-;-;-;5;-;-;-;-;-;-;1;-;-;-;6;-;-;-;-;-;-;1;-;-;-;-;-;13
"120060 Tarauacá";-;-;-;-;-;8;-;-;1;-;-;-;1;-;-;-;1;-;-;-;1;1;-;1;-;-;1;-;-;15
"120070 Xapuri";-;-;-;-;-;5;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;9
"130002 Alvarães";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;1;-;1;1;-;-;-;-;7
"130006 Amaturá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;2;1;-;-;-;-;5
"130008 Anamã";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;2
"130010 Anori";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;3
"130014 Apuí";-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;4;-;-;-;1;-;-;1;1;-;-;-;-;9
"130020 Atalaia do Norte";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;2
"130030 Autazes";-;-;-;1;-;12;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;1;1;-;-;-;-;18
"130040 Barcelos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;1;-;1;-;1;-;-;7
