CNES - Estabelecimentos por Tipo - Brasil
Quantidade por Município e Tipo de Estabelecimento
Período:Dez/2013
"Município";"ACADEMIA DA SAÚDE";"CENTRAL DE REGUALAÇÃO";"CENTRAL DE REGULAÇÃO MÉDICA DAS URGÊNCIAS";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"LABORATORIO DE SAUDE PUBLICA";"POLICLINICA";"OFICINA ORTOPEDICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE)";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL FLUVIAL";"UNIDADE MOVEL TERRESTRE";"TELESAÚDE";"Total"
"110001 Alta Floresta D'Oeste";-;-;-;-;-;1;-;4;-;-;2;-;1;-;2;-;-;-;-;-;5;-;-;-;1;-;1;4;1;-;-;-;-;-;22
"110037 Alto Alegre dos Parecis";-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;1;1;-;-;-;-;9
"110040 Alto Paraíso";-;-;-;-;-;-;-;5;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;3;1;-;-;-;-;-;11
"110034 Alvorada D'Oeste";-;-;-;-;-;-;-;3;-;-;5;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;2;1;1;-;-;-;-;14
"110002 Ariquemes";-;-;1;1;1;1;-;11;1;25;18;-;1;-;11;-;-;-;3;-;-;-;-;-;3;-;-;20;5;-;5;-;1;-;108
"110045 Buritis";-;-;-;-;-;-;-;3;-;-;4;-;-;-;3;-;-;-;1;-;-;-;-;-;1;-;-;6;2;-;-;-;-;-;20
"110003 Cabixi";-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;1;1;-;-;-;-;7
"110060 Cacaulândia";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;1;1;-;-;-;-;6
"110004 Cacoal";-;-;-;-;-;1;-;8;-;29;86;-;4;-;8;-;-;-;5;-;-;-;-;-;1;1;2;11;1;-;-;-;-;-;157
"110070 Campo Novo de Rondônia";-;-;-;-;-;-;-;4;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;7
"110080 Candeias do Jamari";-;-;-;-;-;-;-;5;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;1;-;-;-;-;12
"110090 Castanheiras";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;3
"110005 Cerejeiras";-;-;-;-;-;1;-;4;-;2;3;-;-;-;1;-;-;-;-;-;2;-;-;-;1;-;-;3;1;-;-;-;-;-;18
"110092 Chupinguaia";-;-;-;1;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;5;-;-;-;1;-;-;-;2;-;-;-;-;-;12
"110006 Colorado do Oeste";-;-;-;-;-;1;-;4;-;1;2;-;-;-;1;-;-;-;-;-;2;-;-;-;1;-;-;1;1;-;-;-;-;-;14
"110007 Corumbiara";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;1;-;1;-;-;-;-;5
"110008 Costa Marques";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;2;-;1;-;-;-;-;10
"110094 Cujubim";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;-;3
"110009 Espigão D'Oeste";-;-;-;-;-;1;-;1;-;2;7;-;-;-;2;-;-;-;-;-;7;-;-;-;1;-;-;3;2;1;-;-;-;-;27
"110100 Governador Jorge Teixeira";-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;1;1;-;-;-;-;10
"110010 Guajará-Mirim";-;-;-;-;-;1;-;6;-;-;4;-;-;-;2;-;1;-;-;-;9;-;-;-;1;-;2;7;1;-;-;-;1;-;35
"110110 Itapuã do Oeste";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;2;2;1;-;-;-;-;8
"110011 Jaru";-;-;-;-;-;1;-;12;-;6;48;-;-;-;2;-;-;-;-;-;1;-;-;-;1;-;1;10;1;-;-;-;-;-;83
"110012 Ji-Paraná";-;-;-;-;-;1;-;13;1;28;89;-;29;1;6;1;-;-;4;-;5;-;-;-;2;-;1;19;2;-;-;-;-;-;202
"110013 Machadinho D'Oeste";-;-;-;-;-;1;-;7;-;2;2;-;1;-;1;-;-;-;-;-;1;-;-;-;1;-;-;1;1;-;-;-;-;-;18
"110120 Ministro Andreazza";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;3
"110130 Mirante da Serra";-;-;-;-;-;-;-;2;-;-;3;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;4;1;1;-;-;-;-;14
"110140 Monte Negro";-;-;-;-;-;-;-;7;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;-;11
"110014 Nova Brasilândia D'Oeste";-;-;-;-;-;-;-;4;-;4;2;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;3;1;-;-;-;-;-;16
"110033 Nova Mamoré";-;-;-;-;-;1;-;3;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;2;2;1;-;-;-;-;13
"110143 Nova União";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;1;-;-;-;-;5
"110050 Novo Horizonte do Oeste";-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;5
"110015 Ouro Preto do Oeste";-;-;-;-;-;1;-;4;-;5;6;2;-;-;4;-;-;-;-;-;9;-;-;-;1;-;-;8;1;-;-;-;-;-;41
"110145 Parecis";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;1;-;-;-;-;4
"110018 Pimenta Bueno";-;-;-;-;-;1;-;4;-;4;23;-;20;-;2;-;-;-;2;-;10;-;-;-;1;-;-;8;5;-;-;-;-;-;80
"110146 Pimenteiras do Oeste";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;-;3
"110020 Porto Velho";-;3;1;-;1;4;-;42;-;152;308;2;10;7;13;-;1;1;3;-;15;4;-;-;2;-;2;76;3;-;10;1;1;1;663
"110025 Presidente Médici";-;-;-;-;-;1;-;5;-;1;1;-;1;-;-;-;-;-;2;-;7;-;-;-;1;-;-;3;1;1;-;-;-;-;24
"110147 Primavera de Rondônia";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"110026 Rio Crespo";-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;4
"110028 Rolim de Moura";-;-;-;-;-;1;-;12;1;9;35;-;2;-;3;-;-;-;2;-;2;-;-;-;2;-;-;12;2;-;-;-;-;-;83
"110029 Santa Luzia D'Oeste";-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;1;3;-;-;-;-;-;8
"110148 São Felipe D'Oeste";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;5
"110149 São Francisco do Guaporé";-;-;-;-;-;-;-;3;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;5;1;-;-;-;-;-;13
"110032 São Miguel do Guaporé";-;-;-;-;-;-;-;3;-;1;2;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;3;1;-;-;-;-;-;13
"110150 Seringueiras";-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;5
"110155 Teixeirópolis";-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;1;1;-;-;-;-;7
"110160 Theobroma";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;1;-;-;2;-;1;-;-;-;-;11
