CNES - Estabelecimentos por Tipo - Brasil
Quantidade por Município e Tipo de Estabelecimento
Período:Dez/2015
"Município";"ACADEMIA DA SAÚDE";"CENTRAL DE REGUALAÇÃO";"CENTRAL DE REGULAÇÃO MÉDICA DAS URGÊNCIAS";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CENTRAL DE NOTIF. CAPTAÇÃO E DISTR. ÓRGÃOS ESTADUA";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"LABORATORIO DE SAUDE PUBLICA";"POLICLINICA";"OFICINA ORTOPEDICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE)";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE ATENCAO EM REGIME RESIDENCIAL";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL FLUVIAL";"UNIDADE MOVEL TERRESTRE";"TELESAÚDE";"Total"
"110001 Alta Floresta D'Oeste";-;-;-;-;-;1;-;4;-;-;-;3;-;1;-;2;-;-;-;-;-;5;-;-;-;1;-;2;-;4;1;-;-;-;-;-;24
"110037 Alto Alegre dos Parecis";-;-;-;-;-;-;-;5;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;9
"110040 Alto Paraíso";-;-;-;-;-;-;-;6;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;3;-;-;-;-;-;-;12
"110034 Alvorada D'Oeste";-;-;-;-;-;-;-;4;-;-;-;6;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;3;1;1;-;-;-;-;18
"110002 Ariquemes";-;1;1;1;1;1;-;11;-;-;36;20;-;2;1;10;-;-;-;2;-;-;-;-;-;4;1;-;-;20;5;-;7;-;-;-;124
"110045 Buritis";-;-;-;-;-;1;-;4;-;-;1;5;-;1;-;2;-;-;-;1;-;-;-;-;-;1;-;-;-;7;3;-;2;-;-;-;28
"110003 Cabixi";1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;1;1;-;-;-;-;8
"110060 Cacaulândia";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;1;1;-;-;-;-;6
"110004 Cacoal";-;-;-;-;-;1;-;9;-;-;38;108;-;4;-;8;-;-;-;5;-;-;-;-;1;2;1;3;-;11;1;-;-;-;-;-;192
"110070 Campo Novo de Rondônia";-;-;-;-;-;-;-;4;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;-;8
"110080 Candeias do Jamari";-;-;-;-;-;-;-;5;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;2;1;-;-;-;-;13
"110090 Castanheiras";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;-;5
"110005 Cerejeiras";-;-;-;-;-;1;-;4;-;-;3;5;-;6;-;1;-;-;-;-;-;2;-;-;-;1;-;-;-;3;1;-;-;-;-;-;27
"110092 Chupinguaia";-;-;-;1;-;-;-;2;-;-;-;2;-;1;-;-;-;-;-;-;-;4;-;-;-;1;-;-;-;-;2;1;-;-;-;-;14
"110006 Colorado do Oeste";-;-;-;-;-;1;-;4;-;-;-;3;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;1;-;-;-;-;-;14
"110007 Corumbiara";-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;4;-;-;-;1;-;-;-;-;2;1;-;-;-;-;10
"110008 Costa Marques";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3
"110094 Cujubim";-;-;-;-;-;-;-;3;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;2;-;-;-;10
"110009 Espigão D'Oeste";-;-;-;-;-;1;-;1;-;-;3;8;-;-;-;2;-;-;-;-;-;6;-;-;-;1;-;-;-;5;2;1;-;-;-;-;30
"110100 Governador Jorge Teixeira";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;1;1;1;-;-;-;-;9
"110010 Guajará-Mirim";-;-;-;-;-;1;-;5;-;-;-;5;-;-;-;2;-;1;-;-;-;6;-;-;-;1;-;2;-;6;2;-;-;-;-;-;31
"110110 Itapuã do Oeste";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;1;-;-;-;-;5
"110011 Jaru";-;-;-;-;-;1;-;12;-;-;9;51;-;-;-;2;-;-;-;-;-;1;-;-;-;1;-;1;-;11;1;-;-;-;-;-;90
"110012 Ji-Paraná";2;-;-;2;-;1;-;15;1;-;24;152;1;55;1;7;1;-;-;4;-;-;-;-;-;2;2;2;-;25;3;-;-;-;2;-;302
"110013 Machadinho D'Oeste";-;-;-;-;-;1;-;6;-;-;3;2;-;2;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;1;2;-;2;-;-;-;22
"110120 Ministro Andreazza";-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;6
"110130 Mirante da Serra";-;-;-;-;-;-;-;2;-;-;-;2;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;1;-;-;-;-;10
"110140 Monte Negro";-;-;-;-;-;-;-;7;-;-;1;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;-;-;13
"110014 Nova Brasilândia D'Oeste";-;-;-;-;-;-;-;4;-;-;4;2;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;3;1;-;-;-;-;-;16
"110033 Nova Mamoré";-;-;-;-;-;1;-;2;-;-;2;1;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;2;2;1;-;-;-;-;14
"110143 Nova União";1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;5
"110050 Novo Horizonte do Oeste";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;6
"110015 Ouro Preto do Oeste";-;-;-;-;-;1;-;4;-;-;9;6;-;1;-;4;-;-;-;-;-;10;-;-;-;1;-;-;-;9;1;-;-;-;-;-;46
"110145 Parecis";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;1;1;-;-;-;-;5
"110018 Pimenta Bueno";-;-;-;-;-;1;-;3;-;-;5;34;-;28;-;2;-;-;1;2;-;6;-;-;-;1;-;-;-;9;5;-;-;-;-;-;97
"110146 Pimenteiras do Oeste";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;-;5
