"Município";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";" Total"
"110001 ALTA FLORESTA D\'OESTE";"83,80";"95,73";"78,47";"76,76";"91,29";"104,22";"55,83";"81,66";"92,55";"103,24";"84,46"
"110002 ARIQUEMES";"75,51";"89,00";"84,99";"84,01";"109,89";"111,53";"66,03";"83,06";"87,10";"88,36";"86,20"
"110003 CABIXI";"83,33";"78,18";"66,89";"56,62";"105,06";"130,49";"48,96";"63,21";"140,63";"146,78";"86,86"
"110004 CACOAL";"78,52";"85,21";"75,49";"71,73";"91,60";"122,14";"55,02";"94,08";"90,01";"83,05";"82,58"
"110005 CEREJEIRAS";"88,86";"111,32";"104,73";"88,59";"110,43";"114,76";"65,51";"96,38";"98,30";"111,24";"96,72"
"110006 COLORADO DO OESTE";"68,78";"79,49";"71,74";"79,34";"118,23";"112,28";"56,68";"57,37";"55,72";"71,29";"75,72"
"110007 CORUMBIARA";"95,46";"99,18";"77,18";"86,73";"102,47";"123,91";"63,46";"119,82";"82,91";"118,15";"94,59"
"110008 COSTA MARQUES";"102,60";"87,26";"67,75";"70,21";"105,17";"108,96";"65,05";"68,25";"109,76";"97,98";"87,17"
"110009 ESPIGAO D\'OESTE";"74,98";"22,43";"71,84";"72,30";"88,80";"119,07";"61,00";"83,00";"83,25";"78,51";"75,27"
"110010 GUAJARA-MIRIM";"74,47";"91,92";"83,34";"72,80";"90,18";"112,96";"59,01";"61,77";"70,06";"78,96";"78,22"
"110011 JARU";"70,78";"80,35";"77,15";"76,93";"99,73";"102,71";"54,98";"89,20";"74,36";"100,10";"80,74"
"110012 JI-PARANA";"85,98";"106,78";"95,80";"70,91";"98,35";"114,39";"66,94";"84,43";"82,30";"83,71";"87,00"
"110013 MACHADINHO D\'OESTE";"76,29";"80,06";"72,56";"65,69";"87,94";"146,12";"65,74";"89,89";"94,41";"72,65";"83,39"
"110014 NOVA BRASILANDIA D\'OESTE";"85,45";"101,04";"75,70";"69,73";"94,47";"103,35";"55,05";"80,36";"76,31";"106,44";"82,78"
