CNES - Recursos Humanos - Profissionais - Indivíduos - segundo CBO 2002 - Brasil
Quantidade por Ocupações de Nível Elementar e Unidade da Federação
Período:Dez/2014
"Ocupações de Nível Elementar";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
" AGENTE COMUNITÁRIO DE SAÚDE";3201;1699;7235;756;16022;1165;3711;16018;7568;15579;6014;8609;16037;6066;4363;26625;33131;5921;16218;32433;13612;11155;11155;4658;5375;9475;1140;284941
"   Agente comunitário de saúde";3201;1699;7235;756;16022;1165;3711;16018;7568;15579;6014;8609;16037;6066;4363;26625;33131;5921;16218;32433;13612;11155;11155;4658;5375;9475;1140;284941
" AGENTE DE SAÚDE PÚBLICA";547;141;844;386;1699;273;657;2120;672;1213;1416;1259;2794;1275;871;5201;6281;1238;2897;5844;1914;1305;1209;576;1350;2014;355;46351
"   Agente de saúde pública agente de saneam";547;141;844;386;1699;273;657;2120;672;1213;1416;1259;2794;1275;871;5201;6281;1238;2897;5844;1914;1305;1209;576;1350;2014;355;46351
" ATENDENTE DE ENFERMAGEM/AUX OPER SERV DIV E ASSEM";155;160;909;122;488;60;195;1429;426;1107;457;536;1044;533;303;1720;3499;1071;2042;8388;1936;1000;1121;536;490;769;307;30803
"   Atendente de consultório dentario";78;74;270;68;304;32;127;345;184;594;208;332;625;195;122;922;2310;729;1256;4308;1363;637;453;427;335;610;90;16998
"   Atendente de enfermagem atend berçario";28;22;559;23;123;24;63;1002;235;253;150;125;271;315;148;496;341;94;517;1630;137;81;163;33;79;68;212;7192
"   Atendente de farmácia  balconista";49;64;80;31;61;4;5;82;7;260;99;79;148;23;33;302;848;248;269;2450;436;282;505;76;76;91;5;6613
" PARTEIRA";-;1;73;-;82;34;-;10;-;28;22;15;68;69;23;9;2;-;1;-;-;1;-;-;-;-;-;438
"   Parteira leiga assistente de parto";-;1;73;-;82;34;-;10;-;28;22;15;68;69;23;9;2;-;1;-;-;1;-;-;-;-;-;438
" OUTRAS OCUPAÇÕES NÍVEL ELEMENTAR EM SAÚDE";-;-;2;-;-;-;-;5;11;2;1;4;1;1;2;2;9;1;29;8;3;2;14;3;8;7;16;131
"   Artesao modelador vidros";-;-;1;-;-;-;-;3;7;1;1;1;-;1;2;2;2;-;1;3;3;2;2;1;3;2;-;38
"   Gesseiro";-;-;1;-;-;-;-;2;4;1;-;3;1;-;-;-;7;1;28;5;-;-;12;2;5;5;16;93
"Total";3903;2001;9063;1264;18291;1532;4563;19582;8677;17929;7910;10423;19944;7944;5562;33557;42922;8231;21187;46673;17465;13463;13499;5773;7223;12265;1818;362664
 Fonte: Ministério da Saúde - Cadastro Nacional dos Estabelecimentos de Saúde do Brasil - CNES
 Nota:
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
 
 Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
 De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
 A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
 
